location,description,severity,time_pattern,incident_type
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Multiple incidents
