latitude,longitude,type,severity,date
44.2277429778647,-76.49711543388112,assault,0.23,2017-02-04
44.2670399126682,-76.44241100883981,theft,0.43,2022-04-25
44.21477396450612,-76.45751496166828,burglary,0.48,2023-12-26
44.26331008776371,-76.44673257911414,theft,0.93,2020-01-28
44.26320005335007,-76.43501345518236,fraud,1.0,2023-02-25
44.24346407532076,-76.48405312851506,vandalism,0.39,2020-06-23
44.25929312329328,-76.43963986154222,fraud,0.4,2018-11-10
44.26949512374593,-76.44559509975807,theft,0.42,2016-08-19
44.24552036848266,-76.49841975875295,fraud,0.63,2017-08-18
44.22120291238498,-76.46555680471691,fraud,0.62,2016-01-07
44.218340866873575,-76.4556361203728,public disturbance,0.57,2016-10-01
44.23685220244707,-76.50593873769066,burglary,0.9,2018-05-31
44.251410106387006,-76.49846130818405,fraud,0.75,2016-06-29
44.2297422035841,-76.47843054834797,theft,0.86,2023-04-10
44.24806619605467,-76.49997638670347,burglary,0.47,2015-07-09
44.22315088220425,-76.49865530510115,vandalism,0.25,2021-01-14
44.25976013895767,-76.49603022448565,drug offense,0.93,2021-01-14
44.24803170537207,-76.47706033659482,burglary,0.38,2016-07-25
44.26291756314331,-76.46880254660766,theft,0.45,2017-07-01
44.245063265254004,-76.49884890465815,vandalism,0.59,2017-07-08
44.24011028619882,-76.47481027082138,theft,0.95,2020-10-27
44.2432839102355,-76.43424692182279,drug offense,0.41,2019-10-06
44.25720898921035,-76.470988145446,assault,0.43,2016-07-02
44.234714095034334,-76.49772483872617,burglary,0.73,2023-09-20
44.23283258022376,-76.44727966239093,drug offense,0.63,2017-08-15
44.23224151523484,-76.4362635602082,burglary,0.45,2020-09-01
44.269168181959415,-76.47645728983922,theft,0.96,2018-11-04
44.23405728581819,-76.49399869512868,fraud,0.28,2020-08-28
44.223112638641595,-76.4754016218767,public disturbance,0.19,2015-09-29
44.242760879239526,-76.44395216128822,burglary,0.49,2017-01-11
44.217297934004755,-76.4687717597024,vandalism,0.24,2015-02-28
44.219457311844714,-76.45988576406927,public disturbance,0.24,2016-11-27
44.265129369057,-76.44923556873506,assault,0.73,2022-08-14
44.22767485066859,-76.48376554623366,assault,0.18,2017-05-02
44.24138157464915,-76.4747608546378,burglary,0.37,2021-10-18
44.240034604315326,-76.48458444145238,drug offense,0.52,2021-03-09
44.234912389717216,-76.49646464795514,drug offense,0.25,2020-04-04
44.26642491530824,-76.49364288639099,fraud,0.63,2018-05-17
44.248039529919694,-76.48617257341753,drug offense,0.76,2022-04-26
44.248443518241174,-76.43634564258723,fraud,0.17,2016-03-06
44.245113654474686,-76.46600489152061,public disturbance,0.55,2018-12-22
44.24933849549743,-76.4820479224175,public disturbance,0.15,2023-12-08
44.22281166988622,-76.47791035029978,drug offense,0.59,2023-07-16
44.22520654189217,-76.49157332374983,public disturbance,0.62,2019-05-27
44.21299128025898,-76.50689603832119,burglary,0.38,2015-12-19
44.23225274991155,-76.49469886163095,theft,0.45,2016-04-20
44.25585258005516,-76.45724196727608,vandalism,0.58,2019-06-25
44.225687481516175,-76.49951684512212,drug offense,0.9,2021-10-18
44.23982619612333,-76.44370200010967,fraud,0.77,2019-03-21
44.23791971932355,-76.49610010767408,fraud,0.82,2017-04-05
44.2562408378516,-76.4983511033686,theft,0.59,2019-08-24
44.23926208367333,-76.48614027135157,public disturbance,0.13,2023-04-02
44.256794988534814,-76.46442802637887,burglary,0.13,2019-03-07
44.220076532031015,-76.49544246853603,fraud,0.93,2019-05-08
44.24440157570901,-76.47975427147817,vandalism,0.93,2017-08-26
44.227860035462065,-76.43613499873415,fraud,0.27,2022-03-22
44.241401567287426,-76.49121594935907,vandalism,0.12,2023-03-30
44.25226291345146,-76.4559827666424,assault,0.93,2018-11-29
44.21071456797228,-76.44428462517932,theft,0.44,2023-02-19
44.26618346870347,-76.48242661868728,assault,0.69,2017-04-16
44.2441683337582,-76.44583841107242,drug offense,0.56,2018-07-14
44.24973712567719,-76.47997048753226,drug offense,0.33,2022-06-10
44.221949963332875,-76.4587433199696,drug offense,0.93,2019-05-20
44.22861520287056,-76.50101744408427,fraud,0.17,2022-02-25
44.22943383495783,-76.47285547398452,fraud,0.78,2020-11-16
44.22780442683272,-76.47310234638893,assault,0.28,2017-03-13
44.230559695288775,-76.48763178118541,drug offense,0.38,2019-11-06
44.24588073687484,-76.47757012631929,fraud,0.28,2021-09-17
44.24402458243901,-76.47179203751266,public disturbance,0.1,2015-01-07
44.26748367001788,-76.43983977400505,theft,0.68,2017-03-04
44.253570335966295,-76.4463253694817,assault,0.78,2019-08-14
44.243556133452564,-76.47329325764795,fraud,0.78,2015-02-26
44.245017769023434,-76.48517266746455,burglary,0.11,2021-09-27
44.21118952671221,-76.50085810896462,assault,0.15,2021-08-19
44.23386250089649,-76.48222221454797,fraud,0.62,2017-06-19
44.24611751580347,-76.45244240669909,fraud,0.87,2019-04-21
44.25800596341409,-76.45917596518724,fraud,0.82,2021-08-26
44.25315469112109,-76.48962595943766,fraud,0.75,2020-01-12
44.229499120043144,-76.45434308947613,public disturbance,0.27,2016-11-29
44.22046581674064,-76.48957475694685,assault,0.91,2020-02-05
44.22066885945799,-76.47777143512874,theft,0.92,2015-12-05
44.267001590552084,-76.48927712746234,assault,0.25,2021-07-10
44.2202665328703,-76.4811474699486,burglary,0.86,2018-10-18
44.22788293922006,-76.48367079065032,drug offense,0.54,2016-01-03
44.23543567243204,-76.43169084597912,burglary,0.89,2023-02-26
44.236407652050175,-76.47051058837,vandalism,0.66,2022-08-01
44.25571027458779,-76.49222161507083,fraud,0.29,2018-12-27
44.23563906928333,-76.47603928678157,burglary,0.72,2019-11-03
44.22183555989891,-76.47454636063966,theft,0.35,2017-08-10
44.24879747518866,-76.47352854748884,public disturbance,0.91,2019-09-10
44.24806179481942,-76.45624652589086,drug offense,0.81,2023-02-16
44.23999208620883,-76.43629599956573,public disturbance,0.58,2015-03-03
44.22373461097232,-76.49867645748282,drug offense,0.62,2015-09-12
44.25375215561459,-76.43362667125821,public disturbance,0.26,2020-08-12
44.22292472473877,-76.43632692375813,theft,0.27,2017-01-16
44.251271578867474,-76.4907457077049,drug offense,0.94,2017-07-27
44.212282609909025,-76.49772117263029,drug offense,0.27,2021-12-15
44.22184163975394,-76.4824250275741,assault,0.14,2022-01-22
44.21399608485966,-76.47703023345825,theft,0.97,2021-11-02
44.22202238158001,-76.4723005507264,fraud,0.2,2019-01-29
44.2261630185123,-76.48749911234188,drug offense,0.62,2018-04-27
44.23169774449082,-76.47116645285244,burglary,0.73,2016-02-27
44.2669721690019,-76.46313667100345,burglary,0.63,2017-09-12
44.22184778173917,-76.49938930769443,burglary,0.45,2016-12-14
44.239707959645195,-76.49553136650886,vandalism,0.96,2017-09-18
44.217487397982545,-76.46389983867961,burglary,0.99,2022-08-06
44.262143897728926,-76.46373789535117,theft,0.7,2015-05-14
44.24425622906942,-76.47187726939232,fraud,0.75,2015-01-17
44.231634072209594,-76.49869517240435,drug offense,0.58,2020-05-16
44.21846717620051,-76.47194672161831,vandalism,0.41,2017-09-25
44.25043891965547,-76.46516933466293,burglary,0.94,2020-01-18
44.223574083875135,-76.46215432660017,vandalism,0.15,2023-04-06
44.212066711323,-76.46112122506625,theft,0.43,2017-12-31
44.25221002712199,-76.47415745053803,burglary,0.53,2016-10-06
44.26905032317217,-76.45409021639227,public disturbance,0.77,2018-01-03
44.246426501644486,-76.49745481185275,drug offense,0.77,2015-12-05
44.25017605775979,-76.49611574667112,drug offense,0.34,2020-05-25
44.23860084635148,-76.47113877469666,vandalism,1.0,2021-11-07
44.25597927666132,-76.47295536661841,burglary,0.9,2015-11-13
44.22774037854377,-76.49194486069028,assault,0.14,2019-09-14
44.24095800626689,-76.50542827730669,burglary,0.27,2015-10-14
44.24032559388492,-76.47024986200668,theft,0.22,2020-11-15
44.23080691627109,-76.4495215031105,public disturbance,0.36,2019-02-13
44.249815951252884,-76.45696176403715,theft,0.47,2019-10-05
44.26124732880667,-76.47245296350654,drug offense,0.5,2022-10-01
44.22843531130761,-76.47505030961896,assault,0.46,2016-01-07
44.248889574416324,-76.45593761678029,fraud,0.23,2016-09-12
44.223569172042104,-76.49548278137623,drug offense,0.42,2015-11-20
44.21028366650498,-76.49721512493711,theft,0.45,2023-04-24
44.25635336377083,-76.48926587870888,public disturbance,0.1,2017-03-09
44.24554955967638,-76.48599974663372,burglary,0.35,2017-11-28
44.24617922180701,-76.49468745759648,public disturbance,0.31,2023-04-11
44.239457879180236,-76.47079219632047,public disturbance,0.49,2018-11-22
44.25952944719001,-76.46906714176244,public disturbance,0.37,2022-04-24
44.22079529408336,-76.49457867108632,theft,0.68,2015-01-10
44.24763052369636,-76.47979543393718,fraud,0.98,2022-02-02
44.251566569453544,-76.48877077508935,burglary,0.73,2017-05-30
44.21999370741961,-76.50673274428662,burglary,0.51,2019-11-04
44.21190473198599,-76.44362121206049,fraud,0.32,2017-01-31
44.24413316144939,-76.48572804051977,assault,0.77,2015-07-10
44.236929171663284,-76.49556381515883,assault,0.64,2021-04-28
44.25273382558645,-76.46748815659475,drug offense,0.12,2021-03-01
44.24090237888052,-76.4822187065747,public disturbance,0.76,2017-12-20
44.22226414637317,-76.50889016484673,vandalism,0.6,2020-11-21
44.257275348133156,-76.47747013023836,assault,0.43,2017-09-20
44.21682753185044,-76.45154888315729,burglary,0.77,2023-03-29
44.22380255837823,-76.481156772251,public disturbance,0.13,2017-03-19
44.217772630230556,-76.43441991285516,fraud,0.3,2021-11-15
44.24987043067272,-76.48102389465605,fraud,0.99,2021-11-11
44.252791951229405,-76.50720756090507,fraud,0.76,2018-12-20
44.25943980960903,-76.50473566775742,drug offense,0.33,2020-11-17
44.245434070456255,-76.48088558583937,burglary,0.93,2017-11-01
44.21514990573479,-76.43974705666493,drug offense,0.89,2016-06-02
44.23736760209357,-76.47255259795787,fraud,0.59,2023-07-24
44.24937882826858,-76.44249713596874,fraud,0.4,2023-05-17
44.25563599462722,-76.49149019690783,drug offense,0.57,2018-09-15
44.25764603190318,-76.4942825137801,assault,0.84,2015-05-19
44.23017323327246,-76.48779528745254,theft,0.93,2017-08-02
44.24032309685298,-76.47426865837592,burglary,0.31,2023-06-14
44.260524566114896,-76.45757667086072,vandalism,0.42,2022-10-04
44.2248259246052,-76.43195282806155,burglary,0.92,2020-10-02
44.26637157277178,-76.50994560561774,burglary,0.38,2017-01-22
44.21986391189479,-76.4546884265653,fraud,0.56,2023-07-06
44.23882757070596,-76.4996388892528,theft,0.64,2022-02-23
44.22329000566092,-76.48742067370735,drug offense,0.24,2020-02-19
44.226337146771115,-76.48175576920455,burglary,0.22,2021-02-24
44.2155444242384,-76.46241456594447,fraud,0.16,2017-09-22
44.23125483878226,-76.49059319907175,assault,0.6,2022-05-26
44.23483052508353,-76.47680109332924,vandalism,0.54,2022-02-11
44.231963445754616,-76.44362796891767,vandalism,0.64,2021-10-22
44.244404986917296,-76.50043235399595,burglary,0.66,2016-09-26
44.26147371697117,-76.45364039189921,public disturbance,0.35,2023-04-15
44.262093701104455,-76.47132742240385,drug offense,0.48,2021-02-01
44.24488338714677,-76.49420254117382,burglary,0.52,2016-10-12
44.23901599998569,-76.4888385632174,burglary,0.69,2017-10-09
44.244613801740364,-76.48459143336896,assault,0.46,2021-03-17
44.24638460749017,-76.48716795853426,public disturbance,0.62,2017-10-18
44.24637511478364,-76.49485511293861,theft,0.49,2017-11-26
44.23980589071504,-76.4810086748773,public disturbance,0.5,2015-02-20
44.252056526368925,-76.49105911394219,drug offense,0.52,2016-08-23
44.248664472594065,-76.48431599384872,public disturbance,0.53,2018-08-28
44.218586140828286,-76.46918196467887,drug offense,0.66,2022-12-08
44.221629072392126,-76.47956968957969,burglary,0.49,2018-04-03
44.2246390697481,-76.46537628797388,fraud,0.36,2016-02-07
44.262701269372556,-76.48006264587197,burglary,0.17,2019-08-30
44.25406833542723,-76.45121940737795,theft,0.73,2022-04-09
44.22851517514219,-76.49633192186765,public disturbance,0.64,2018-10-24
44.23821042374337,-76.49709433245896,drug offense,0.67,2016-11-18
44.24082800480093,-76.46426563306926,vandalism,0.63,2015-03-29
44.26285530121033,-76.48457973710262,theft,0.91,2019-10-11
44.234243419857776,-76.47119541930736,public disturbance,0.4,2021-10-27
44.23276809497995,-76.48575200525356,assault,0.72,2018-08-16
44.216628450315056,-76.50814653955379,theft,0.38,2018-10-24
44.22147484033494,-76.48488199500734,vandalism,0.77,2023-06-15
44.25449160648153,-76.4594643525743,drug offense,0.38,2020-03-19
44.22446387565919,-76.47646384011874,fraud,0.82,2015-04-22
44.24684108248748,-76.49201279561856,theft,0.51,2020-10-27
44.21616145769138,-76.46300049869919,vandalism,0.8,2022-06-10
44.240164259049,-76.43239781151053,public disturbance,0.55,2022-03-15
44.24016841842405,-76.48764172158552,theft,0.44,2023-11-12
44.263352297284754,-76.50660687998536,fraud,0.71,2019-08-13
44.24552461178714,-76.47879119994465,theft,0.65,2015-05-03
44.24607939683453,-76.50929192386538,assault,0.13,2023-01-25
44.231627132125226,-76.47916227300027,theft,0.59,2016-05-15
44.21242696481671,-76.48141033663553,fraud,0.94,2015-02-18
44.247392647135804,-76.47953204846986,fraud,0.63,2016-08-24
44.2470126445232,-76.43395603576487,theft,0.72,2022-02-02
44.22517545761697,-76.44417358094297,drug offense,0.62,2023-11-10
44.22472257470735,-76.4915923553087,drug offense,0.48,2023-07-03
44.2554579976258,-76.4508733589965,public disturbance,0.45,2019-03-06
44.22649461588871,-76.4691993921171,fraud,0.61,2018-07-30
44.25801401231828,-76.4356239684065,vandalism,0.99,2020-08-12
44.2304135303999,-76.44342914831121,theft,0.37,2017-12-08
44.22828225421019,-76.49021784342689,burglary,0.54,2015-03-30
44.241910206632426,-76.49631553548787,vandalism,0.51,2019-06-24
44.24999753296524,-76.47076594317586,drug offense,0.15,2020-02-16
44.24542766971411,-76.48859359927864,drug offense,0.22,2019-09-24
44.24843891802257,-76.47065786460588,drug offense,0.12,2018-03-08
44.24419159361122,-76.4689809255397,drug offense,0.47,2016-11-03
44.267647503235914,-76.50783304057693,fraud,0.78,2021-05-12
44.245801783512626,-76.4776094770595,drug offense,0.47,2016-10-12
44.22371836773787,-76.46249695994301,assault,0.83,2016-08-05
44.25525223868313,-76.46429858583342,fraud,0.49,2018-08-26
44.24533672763891,-76.48564213592432,theft,0.82,2017-01-16
44.235173464292394,-76.49053050312827,theft,0.29,2016-09-03
44.21228525623038,-76.50314697512837,drug offense,0.11,2023-10-01
44.268731705537476,-76.44674149401305,theft,0.29,2015-07-02
44.23493628261596,-76.47369964370502,burglary,0.63,2016-08-15
44.24126950337525,-76.47185867995633,theft,0.52,2021-10-06
44.21245370458975,-76.47801639340912,vandalism,0.53,2015-05-13
44.22739642529173,-76.44452151689418,assault,0.34,2019-06-18
44.21167960037496,-76.49481092362261,fraud,0.94,2018-07-24
44.22850732484546,-76.4724422795968,drug offense,0.58,2018-08-01
44.25215108438907,-76.4527719133036,assault,0.37,2023-08-19
44.23607326324704,-76.47324632678558,drug offense,0.73,2019-07-13
44.22899970667141,-76.47398873712031,public disturbance,0.58,2016-04-22
44.242080080551744,-76.48168035128202,assault,0.29,2023-04-03
44.21603677297412,-76.48629071222153,burglary,0.74,2020-10-09
44.26826866165833,-76.50110084995143,assault,0.11,2018-12-25
44.21823063332157,-76.50216418864287,fraud,0.81,2021-09-05
44.21319057256157,-76.48129641234954,fraud,0.76,2017-02-28
44.258869567493186,-76.5081065147706,fraud,0.61,2022-07-27
44.23816402725881,-76.4950176392477,drug offense,0.59,2023-05-13
44.23296656559061,-76.48303522799407,vandalism,0.29,2015-02-17
44.26840300146194,-76.4718255219377,fraud,0.25,2022-11-05
44.22094722404266,-76.45279842312024,burglary,0.23,2019-04-22
44.24123383886526,-76.50294965585795,assault,0.1,2016-01-22
44.25247508835031,-76.44150713256224,assault,0.81,2022-12-13
44.224203243350296,-76.48127307602886,vandalism,0.96,2023-04-16
44.24123095443571,-76.48489323660583,vandalism,0.42,2015-03-14
44.23554866213762,-76.48543817568172,public disturbance,0.94,2019-04-07
44.238394440664614,-76.50845855091808,vandalism,0.37,2023-12-25
44.26890034759465,-76.43623046768039,fraud,0.51,2016-08-13
44.21241780371743,-76.44844920522553,drug offense,0.45,2015-04-18
44.25282804003258,-76.50107732928363,vandalism,0.86,2016-07-11
44.230134593419734,-76.47761430495714,public disturbance,0.11,2023-06-20
44.22771006226539,-76.45866702159358,theft,0.59,2021-08-21
44.23708418079146,-76.48775319302256,theft,0.59,2016-07-23
44.238703648593926,-76.47004903316625,fraud,0.29,2018-07-23
44.24381018389374,-76.47367289160906,drug offense,0.93,2022-12-02
44.21192373951107,-76.48137461176812,vandalism,0.67,2021-04-03
44.26684074375676,-76.48353756394718,vandalism,0.22,2021-05-16
44.21228209446093,-76.4968024023569,vandalism,0.27,2016-08-16
44.23836785280274,-76.47016988260161,public disturbance,0.15,2020-07-23
44.21497996831501,-76.47999038211567,vandalism,0.63,2015-10-09
44.22925888884594,-76.46307729541591,fraud,0.94,2019-07-21
44.21282895515899,-76.4499489608576,drug offense,0.27,2015-10-19
44.21283038429934,-76.49654777515501,assault,0.27,2020-05-13
44.236935399458616,-76.44188943781938,assault,0.79,2016-02-29
44.2627831163923,-76.46605635866771,fraud,0.2,2021-02-28
44.22237704502824,-76.46864527681261,fraud,0.44,2017-06-23
44.262584310870466,-76.50502911913921,assault,0.93,2019-06-23
44.24408520476651,-76.50705262423328,theft,0.45,2018-08-18
44.21695624907846,-76.44684520000062,burglary,0.53,2022-10-13
44.24813026875368,-76.47648389182929,drug offense,0.43,2015-07-27
44.23050900102078,-76.43411491906917,public disturbance,0.57,2022-04-03
44.223316889223995,-76.47029286973026,theft,0.58,2020-12-17
44.22972054174445,-76.4470524751732,fraud,0.93,2022-11-08
44.239091894875784,-76.45716361853111,fraud,0.23,2023-08-02
44.267205295783015,-76.48509034739328,vandalism,0.82,2017-02-14
44.25624683242164,-76.46266477869247,theft,0.45,2019-05-26
44.24071064314702,-76.4449922492146,vandalism,0.38,2023-07-28
44.24215674317046,-76.4931402416058,theft,0.24,2019-06-04
44.22071153111239,-76.47432943513944,public disturbance,0.73,2019-09-05
44.21424439838192,-76.49321192119626,assault,0.18,2015-02-28
44.239692884175916,-76.4934108067632,fraud,0.59,2019-11-08
44.22907709314298,-76.48860599576102,theft,0.99,2018-01-25
44.241879732917354,-76.50861826206445,drug offense,0.61,2019-07-07
44.22000869582382,-76.44322826602699,drug offense,0.4,2023-10-30
44.234874177278456,-76.49435481278073,theft,0.37,2023-05-30
44.245948250923604,-76.47183139761886,burglary,0.67,2017-04-01
44.25441280061793,-76.50405697917913,assault,0.33,2019-03-09
44.213955311381966,-76.45110699502331,burglary,0.71,2022-10-02
44.24600401564262,-76.43437025835902,fraud,0.37,2022-04-28
44.219534357896684,-76.47513037348128,assault,0.51,2021-12-05
44.24863223214896,-76.44695453607181,theft,0.22,2020-04-17
44.24530986288192,-76.47714977884868,drug offense,0.43,2020-09-11
44.221037896104534,-76.46773931796741,fraud,0.81,2019-12-15
44.26694645665723,-76.48808540914567,assault,0.47,2023-09-11
44.21458641746923,-76.50852909770335,theft,0.95,2019-02-06
44.222434340932004,-76.49658846083581,fraud,0.62,2015-09-05
44.26510737103537,-76.43175767439232,theft,0.76,2015-04-10
44.23520090823586,-76.47308569576278,theft,0.83,2020-06-03
44.225877559966825,-76.50150151216428,assault,0.65,2018-05-11
44.22168455971482,-76.49527804696318,drug offense,0.79,2018-04-13
44.24049706714242,-76.4939046527088,assault,0.88,2020-07-04
44.22290543913697,-76.49155919969259,burglary,0.99,2020-05-01
44.25872449957635,-76.43135501825283,assault,0.54,2022-03-23
44.23892580965274,-76.49490380898308,fraud,0.75,2017-02-23
44.229131023292275,-76.43835765011589,public disturbance,0.47,2015-07-16
44.22754106544986,-76.47844447865995,public disturbance,0.25,2020-04-28
44.224632812843076,-76.4734714058646,assault,0.34,2021-12-29
44.24641238452656,-76.4794507020641,burglary,0.95,2019-01-14
44.266447099409824,-76.4391011570906,theft,0.34,2015-04-29
44.22676143940635,-76.47863787056932,drug offense,0.18,2023-10-12
44.22271360769807,-76.49191583507753,vandalism,0.27,2017-07-15
44.232227146289404,-76.48818425421229,public disturbance,0.31,2022-06-12
44.22210328701743,-76.4914275166386,burglary,0.22,2019-04-22
44.22067638462027,-76.4706058385683,burglary,0.89,2018-02-14
44.232540836799565,-76.47154401767844,fraud,0.15,2016-02-25
44.23626902351125,-76.50034953548123,vandalism,0.48,2023-12-12
44.24601314501258,-76.49576747302679,public disturbance,0.32,2016-11-04
44.24274376764598,-76.49112040812544,fraud,0.48,2022-11-28
44.2278535575208,-76.47065890374137,fraud,0.59,2016-12-25
44.2426999768342,-76.50691038980446,theft,0.14,2022-04-07
44.24355632117714,-76.46443828653103,vandalism,0.74,2020-11-12
44.26013564330268,-76.43506025123465,burglary,0.64,2017-02-08
44.229531419536016,-76.48965977417014,theft,0.37,2022-08-29
44.24101184610981,-76.50644003893935,drug offense,0.45,2018-01-09
44.26689041275338,-76.46778257203972,burglary,0.78,2020-09-06
44.26063901620046,-76.47833479316795,fraud,0.18,2018-10-19
44.223254290029885,-76.46306736298072,public disturbance,0.86,2022-06-18
44.250705956497626,-76.45946129637068,fraud,0.75,2018-06-30
44.25448682919532,-76.46902351601574,assault,0.28,2017-03-09
44.25276927344609,-76.43739026174556,vandalism,0.16,2018-05-12
44.21739027808957,-76.47845617773152,fraud,0.4,2015-12-09
44.243581518282504,-76.49134978895927,vandalism,0.37,2015-01-13
44.22494043883704,-76.48775082540872,vandalism,0.13,2023-06-16
44.242137997608175,-76.49294927172045,public disturbance,0.19,2022-10-23
44.254827557139606,-76.50758159159207,burglary,0.74,2021-04-29
44.224376871381224,-76.47745873603809,assault,0.48,2021-08-27
